antibody,target,subclass,cl_ml_day_kg,q_ml_day_kg,vc_ml_kg,vp_ml_kg,reference,linearkinetics
Adalimumab,TNFa,IgG1,3.43,15.3,47.8,38.6,[1],Linear
ABT-806,EGFR,IgG1,3.57,8.11,47.3,44.6,[2],Linear
ABT-981,IL-1a/1b,IgG1,4.32,2.08,39.5,17.4,[1],Linear
Anrukinzumab/IMA-638,IL-13,IgG1,2.16,6.61,46.9,26.7,[3],Linear
ASN-1,Staphylococcus aureus cytotoxins,IgG1,3.49,7.81,51.2,46.4,[4],Linear
ASN-2,Staphylococcus aureus cytotoxins,IgG1,2.83,16.4,55.6,50.4,[4],Linear
Atezolizumab,PD-L1,IgG1,3.14,13.5,37.3,22,[1],Linear
ATM-027,Vb5.2/5.3,IgG1,2.71,31.1,40,44.3,[5],Linear
Avelumab,PD-L1,IgG1,7.87,16.8,37.7,15.6,[6],Linear
Basiliximab,CD25,IgG1,12.6,59.5,53.1,58.4,[7],Linear
Bapineuzumab,Amyloid-β,IgG1,2.33,12.3,43.1,49.4,[8],Linear
BAY 1213790,FXIa,IgG1,4.03,8.34,44.9,23.8,[9],Linear
Belimumab,BLyS,IgG1,3.02,6.46,36,38.4,[1],Linear
Benralizumab,IL-5Ra,IgG1,4.19,12.2,41,36.8,[10],Linear
Bevacizumab,VEGF,IgG1,2.8,8.02,35.9,37.3,[1],Linear
Bezlotoxumab/MK6072,Toxin B,IgG1,3.89,7.63,47.4,49.4,[11],Linear
BIIB033,LINGO-1,IgG1,2.89,3.36,36.5,44.4,[12],Linear
Canakinumab,IL-1b,IgG1,2.8,6.61,51.9,37.7,[13],Linear
CNTO328,IL-6,IgG1,4.52,49.7,64.6,27.3,[1],Linear
CNTO5825,IL-13,IgG1,2.31,6.26,44.6,25.6,[1],Linear
Daclizumab,CD25,IgG1,3.09,13.6,50.1,32.4,[14],Linear
Durvalumab/MEDI4736,PD-L1,IgG1,3.44,12.1,62,35.9,[15],Linear
Eptinezumab/ALD403,CGRP,IgG1,2.25,86.3,38.2,31.8,[16],Linear
Farletuzumab/MORAb-003,Folate receptor a (FRa),IgG1,2.84,7.36,45.3,113,[17],Linear
Ganitumab/AMG479,IGF1R,IgG1,9.05,8.35,51.3,45.5,[18],Linear
Golimumab,TNFa,IgG1,5.18,5.44,39.8,47.7,[1],Linear
GSK679586,IL-13,IgG1,2.33,9.54,35.8,29.6,[19],Linear
GSK3050002,CCL20,IgG1,4.54,3.4,33.2,32.7,[20],Linear
HuHMFG1/AS1402,MUC1,IgG1,5.25,5.58,45.3,31.9,[21],Linear
IMA-026,IL-13,IgG1,2.38,1.81,56.6,22.9,[22],Linear
Inebilizumab/MEDI-551,CD19,IgG1,1.85,3.16,47.3,28.8,[23],Linear
Infliximab,TNFa,IgG1,3.49,22,39.1,37.6,[24],Linear
Ipilimumab,CTLA-4,IgG1,4.49,12.3,51.8,38.8,[25],Linear
KRN23/Burosumab,FGF23,IgG1,3.43,25.8,28.9,29.4,[26],Linear
LJP538,Cytomegalovirus,IgG1,3.07,5.42,34.8,33.5,[27],Linear
LJP539,Cytomegalovirus,IgG1,2.19,7.08,30.1,21.7,[27],Linear
mAb114,Ebola virus,IgG1,1.68,11.5,26.7,26.6,[28],Linear
MDX-1303,B. anthracis PA,IgG1,2.77,8.48,36.1,22.4,[29],Linear
MEDI-528,IL-9,IgG1,1.96,6.54,39.4,54.7,[30],Linear
MEDI8852,Influenza A virus,IgG1,2.18,15.3,37.4,35.9,[31],Linear
Mepolizumab,IL-5,IgG1,2.92,12.3,41.2,35.2,[1],Linear
MHAA4549A,Influenza A virus,IgG1,2.07,6.85,37.2,24.5,[1],Linear
MHAB5553A,Influenza B virus,IgG1,2.69,7.91,31.4,30.4,[32],Linear
Mogamulizumab/KW-0761,CCR4,IgG1,4.5,17.3,49.6,33.7,[33],Linear
MYO-029,Myostatin/GDF-8,IgG1,9.12,7.44,65,33,[34],Linear
NNC0114-0005,IL-21,IgG1,3.15,10.1,46.5,64,[35],Linear
Obiltoxaximab,B. anthracis PA,IgG1,3.11,6.31,42.8,36.4,[36],Linear
Ocaratuzumab/AME-133v,CD20,IgG1,3.47,12.5,39.9,44.1,[37],Linear
Olaratumab,PDGFRa,IgG1,6.94,9.38,51.6,44.4,[38],Linear
Onartuzumab/MetMAb,MET,IgG1,5.87,13.9,37.1,56.3,[39],Linear
Ozanezumab,Nogo-A,IgG1,3.74,4.67,44.1,48.7,[40],Linear
Palivizumab,RSV,IgG1,2.83,12.6,58.4,31.9,[41],Linear
PAmAb,B. anthracis PA,IgG1,3.05,7.43,44.9,88.1,[42],Linear
Pateclizumab/MLTA3698A, Lymphotoxin a,IgG1,4.2,48.5,34,23.6,[43],Linear
Patritumab/U3-1287,HER3,IgG1,8.05,6.02,51,35.2,[44],Linear
Pertuzumab,HER2,IgG1,3.1,8.06,39.7,31.2,[45],Linear
PRX002,a-synuclein,IgG1,9,7.65,53.8,27.9,[46],Linear
Ramucirumab,VEGFR-2,IgG1,5.04,3.47,46.2,28.9,[47],Linear
Raxibacumab,B.anthracis PA,IgG1,2.49,6.56,42.9,30.1,[1],Linear
REGN3470,Ebola virus,IgG1,2.93,1.26,44.9,87.6,[48],Linear
REGN3471,Ebola virus,IgG1,2.09,3.69,41.5,72.6,[48],Linear
REGN3479,Ebola virus,IgG1,2.78,3.45,40.2,57.1,[48],Linear
Risankizumab ,IL-23,IgG1,3.8,4.18,71.6,43.4,[49],Linear
Rituximab,CD20,IgG1,3.89,9.93,45.2,55.2,[1],Linear
RO5323441/RG7334/TB-403,PIGF,IgG1,5.8,6.21,50.5,21.9,[50],Linear
RSHZ19,RSV,IgG1,2.99,26.6,60.2,43.7,[1],Linear
Secukinumab,IL-17A,IgG1,2.09,4.3,39.8,31.6,[51],Linear
Sifalimumab,INF-a,IgG1,2.86,5.29,43.9,29.2,[1],Linear
Sirukumab/CNTO136,IL-6,IgG1,5.11,8.25,46,69.7,[52],Linear
Solanezumab,Amyloid-β,IgG1,2.61,3.3,37.1,32.9,[53],Linear
Urtoxazumab,Shiga-Like Toxin 2,IgG1,2.08,10.9,37.2,40.2,[54],Linear
Ustekinumab,IL-12/23,IgG1,2.61,2.21,42.3,20.1,[55],Linear
VRC01,HIV-1,IgG1,5.78,26.8,30.9,93.7,[1],Linear
XmAb5574/MOR00208,CD19,IgG1,7.19,24.1,71.4,58.6,[1],Linear
ABX-IL8,IL-8,IgG2,2.9,9.8,48.4,28.6,[56],Linear
AMG139,IL-23p19,IgG2,2.33,6,48.5,59.6,[1],Linear
AMG403,NGF,IgG2,3.39,10.5,51.9,38.9,[57],Linear
Demcizumab/OMP-21M18,DLL4,IgG2,4.17,7.64,41.3,41.4,[58],Linear
Fremanezumab,CGRP,IgG2,1.27,3.7,42.1,24.3,[59],Linear
Gevokizumab,IL-1b,IgG2,2.46,8.1,31.6,28.8,[1],Linear
PF-03446962, ALK-1,IgG2,5.45,12.5,58.5,44.2,[60],Linear
PF-04236921,IL-6,IgG2,1.75,7.84,40.4,47.7,[61],Linear
PF-04360365,Amyloid-β,IgG2,2.35,7.2,45.1,76.3,[1],Linear
Rilotumumab/AMG102,HGF/SF,IgG2,3.17,15.1,48.7,35.2,[1],Linear
RN317/PF-05335810,PCSK9,IgG2,4.43,6.81,30.7,20,[62],Linear
Tanezumab,NGF,IgG2,2.3,10.8,40,29,[1],Linear
Tezepelumab/AMG157/MEDI9929,TSLP,IgG2,2.52,8.37,41.3,51.1,[63],Linear
Tremelimumab,CTLA-4,IgG2,3.21,5.69,49,45.8,[64],Linear
AB023,FXI,IgG4,3.92,10.5,41.3,59.1,[65],Linear
BIIB092/BMS-986168/IPN007,Tau,IgG4,4.98,19.6,70.9,56.2,[66],Linear
BITS7201A,IL-13/IL-17,IgG4,2.43,6.74,44.1,57.5,[67],Linear
CDP571,TNFa,IgG4,5.52,11.9,42.4,42.5,[1],Linear
Cemiplimab ,PD-1,IgG4,3.83,8.63,44.5,22.5,[68],Linear
Emicizumab/ACE910,FIXa/FX,IgG4,3.02,5.63,51.1,46.8,[69],Linear
Ixekizumab,IL-17A,IgG4,4.16,8.85,28.9,47.8,[1],Linear
Lebrikizumab,IL-13,IgG4,2.23,4.06,58.6,20.7,[70],Linear
LY2189102,IL-1b,IgG4,2.62,6.12,36.4,22.9,[71],Linear
LY3015014,PCSK9,IgG4,3.7,6.4,37.2,21.6,[72],Linear
Nivolumab,PD-1,IgG4,3.21,7.04,63.5,45.5,[1],Linear
Pembrolizumab/MK-3475,PD-1,IgG4,2.93,10.6,46.4,54.1,[73],Linear
Reslizumab,IL-5,IgG4,2.35,3.29,42.9,28.1,[74],Linear
Temelimab/GNbAC1,pHERV-W Env,IgG4,2,12.9,39.3,43.4,[75],Linear
Tralokinumab/CAT-354,IL-13,IgG4,2.93,18.7,26.7,45.3,[76],Linear
ABT-122,TNFa/IL-17A,IgG1,5.27,20.9,56,18.9,[77],Nonlinear
Alirocumab,PCSK9,IgG1,3.59,5.36,38.5,33.7,[78],Nonlinear
Amatuximab/MORAb-009,Mesothelin,IgG1,9.56,4.7,51.8,34.9,[79],Nonlinear
AMG811,IFN-γ,IgG1,2.54,9.52,21.4,30.6,[80],Nonlinear
ASP5094,Alpha-9 integrin,IgG1,2.9,5.98,45.1,31.3,[81],Nonlinear
BIIB023,TWEAK,IgG1,2.4,7.55,41.2,33.5,[82],Nonlinear
Cetuximab,EGFR,IgG1,6.18,11.5,42.2,55.5,[83],Nonlinear
Daratumumab,CD38,IgG1,2.54,13.8,63.1,72.9,[84],Nonlinear
Domagrozumab,Myostatin/GDF8,IgG1,2.42,7.68,45.7,34,[85],Nonlinear
Efalizumab ,CD11a,IgG1,7.33,6.24,64.3,32.3,[86],Nonlinear
Elotuzumab/BMS-901608/HuLuc63,SLAMF7,IgG1,1.17,8.85,52.9,29.1,[87],Nonlinear
Emapalumab/NI-0501,IFN-γ,IgG1,3.98,35,59.4,74,[88],Nonlinear
Etrolizumab,β7 subunit of α4β7 and αEβ7 integrins ,IgG1,4.04,7.24,34.3,27.7,[89],Nonlinear
Lacnotuzumab,CSF-1,IgG1,2.67,9.47,48.5,35.3,[90],Nonlinear
Lumretuzumab,HER3,IgG1,3.73,7.33,37.2,20.9,[91],Nonlinear
Margetuximab/MGAH22,HER2,IgG1,4.27,12.6,53.3,53.3,[92],Nonlinear
Matuzumab,EGFR,IgG1,4.9,12.9,52.4,25.9,[93],Nonlinear
MNRP1685A ,Neuropilin-1,IgG1,8.53,19.6,51,79.1,[94],Nonlinear
MTRX1011A,CD4,IgG1,4.67,17.3,43.6,20.9,[95],Nonlinear
Necitumumab ,EGFR,IgG1,3.85,6.19,48,46.3,[96],Nonlinear
Ofatumumab,CD20,IgG1,2.4,7.1,43.5,27.6,[97],Nonlinear
Sibrotuzumab,Fibroblast activation protein,IgG1,7.07,12,55.1,42.5,[98],Nonlinear
Siplizumab/MEDI-507,CD2,IgG1,2.24,37.7,27.9,36,[99],Nonlinear
Tocilizumab,IL-6R,IgG1,4.29,2.86,50,41.4,[100],Nonlinear
Trastuzumab,HER2,IgG1,3.71,5.9,58.5,60.3,[101],Nonlinear
TRX1,CD4,IgG1,3.25,27.1,41.7,31,[102],Nonlinear
Vedolizumab,α4β7 integrin,IgG1,2.31,1.76,46.9,24.3,[103],Nonlinear
AMG317,IL-4Rα,IgG2,10.1,7.88,21.3,60.3,[104],Nonlinear
Bococizumab/RN316/PF-04950615,PCSK9,IgG2,3.01,4.05,39.3,43.2,[105],Nonlinear
Brodalumab/AMG827,IL-17RA,IgG2,2.62,9.52,45.2,31.1,[106],Nonlinear
Denosumab/AMG162,RANKL,IgG2,1.11,13.8,37.7,20.6,[107],Nonlinear
EMD 525797/DI17E6,αv integrins,IgG2,2.74,14.2,58.8,45.9,[108],Nonlinear
 Erenumab/AMG334,CGRP receptor,IgG2,2.86,44.6,57,36.4,[109],Nonlinear
Panitumumab,EGFR,IgG2,3.59,5.19,48.8,34.4,[110],Nonlinear
PF-00547659,MAdCAM,IgG2,2.77,4.7,45.8,30.1,[111],Nonlinear
Romosozumab/AMG785,Sclerostin,IgG2,3.57,7.71,34.3,37.1,[112],Nonlinear
Satralizumab/SA237,IL-6R,IgG2,2.32,6.76,43.6,16.8,[113],Nonlinear
Andecaliximab,MMP9,IgG4,1.41,4.8,86.7,16.3,[114],Nonlinear
Dupilumab/REGN668,IL-4Rα,IgG4,1.65,2.35,36.1,18.2,[115],Nonlinear
Hu5F9-G4,CD47,IgG4,2.91,16.7,53.1,32.4,[116],Nonlinear
Lirilumab/IPH2102,KIR2D,IgG4,2.47,8.86,56.4,43.9,[117],Nonlinear
Mavrilimumab/CAM-3001,GM-CSF-Ra,IgG4,4.29,24.3,40,80,[112],Nonlinear
Natalizumab,α4 integrin ,IgG4,2,5.38,50.1,24.3,[118],Nonlinear
Tabalumab,BAFF,IgG4,2,9.33,45.3,38.7,[119],Nonlinear
